client,gender,amount,card,retail_service,country,timestamp
Martynne Derrell,Female,"€40,46",americanexpress,Kids,Argentina,9:33:08
Torie De Coursey,Female,"€81,88",visa,Outdoors,Portugal,5:36:32
Hirsch Wagen,Male,"€26,19",mastercard,Automotive,Brazil,6:24:14
Chase Le Bosse,Male,"€41,57",americanexpress,Tools,Argentina,2:35:26
Colleen Ibotson,Female,"€84,13",americanexpress,Industrial,Brazil,18:18:32
Shalom Maden,Male,"€2,04",visa,Shoes,Brazil,16:05:43
Wilfrid Stanway,Male,"€28,34",mastercard,Health,Brazil,16:44:10
Cherlyn Westrope,Female,"€16,14",mastercard,Electronics,Brazil,11:34:24
Frederich Boffey,Male,"€28,25",visa,Electronics,France,3:44:28
Antoni Denk,Male,"€59,49",visa,Books,Portugal,22:30:42
Galven Pugh,Male,"€62,55",americanexpress,Industrial,Brazil,12:32:04
Celine Menchenton,Female,"€83,86",visa,Toys,France,7:13:38
Alexis MacKeller,Male,"€42,31",mastercard,Health,Brazil,8:56:10
Brenda Yerlett,Female,"€93,40",americanexpress,Music,France,17:41:11
Ninnetta Habin,Female,"€27,51",visa,Toys,Portugal,17:50:38
Dominick Ledes,Male,"€78,43",americanexpress,Health,Brazil,20:15:16
Broddie Threadgall,Male,"€70,80",americanexpress,Toys,France,9:41:55
Wallache Ruler,Male,"€35,92",visa,Health,France,18:21:57
Vassili Nann,Male,"€29,77",americanexpress,Automotive,Brazil,14:49:54
Kareem Tweed,Male,"€8,98",mastercard,Home,Portugal,17:59:00
Kesley Sugars,Female,"€38,74",americanexpress,Automotive,Brazil,22:15:08
Roslyn Allison,Female,"€79,53",visa,Beauty,Argentina,7:05:59
Bruis Redmell,Male,"€60,26",mastercard,Shoes,Portugal,23:51:36
Husein Sich,Male,"€47,94",visa,Movies,Argentina,0:13:31
Riobard McIlvaney,Genderqueer,"€61,18",mastercard,Computers,Brazil,14:17:40
Odette McAlarney,Female,"€56,90",visa,Kids,France,4:31:00
Barnett Fossey,Male,"€19,58",americanexpress,Shoes,Brazil,10:42:24
Enrico Whiteley,Male,"€26,90",mastercard,Beauty,Brazil,21:21:04
Herschel Giraudeau,Male,"€84,86",mastercard,Movies,Portugal,20:29:42
Rosina Costelloe,Polygender,"€23,52",americanexpress,Toys,Brazil,6:02:31
Sula Sherland,Female,"€26,49",mastercard,Movies,Brazil,18:06:40
Freida Kmicicki,Polygender,"€53,05",mastercard,Jewelry,Brazil,16:44:17
Rheba Wynne,Female,"€11,29",americanexpress,Beauty,Portugal,23:41:08
Gina Dibling,Female,"€18,94",americanexpress,Jewelry,Argentina,13:31:37
Rhody Gorries,Female,"€5,21",visa,Clothing,Argentina,23:48:50
Maddy Croser,Male,"€35,68",mastercard,Toys,Brazil,1:14:34
Arleyne Catt,Female,"€80,57",mastercard,Health,Argentina,20:54:26
Leroy Harroway,Male,"€63,87",visa,Jewelry,Brazil,18:37:42
