client,gender,amount,card,retail_service,country,timestamp
Trudy Kintzel,Female,"€92,42",visa,Outdoors,France,16:22:10
Connie Willmetts,Female,"€9,56",americanexpress,Electronics,Germany,17:58:52
Magdalena Ockenden,Female,"€43,72",mastercard,Garden,Brazil,21:56:04
Brit Husselbee,Male,"€56,78",mastercard,Health,Argentina,12:23:28
Wendi Cabell,Female,"€48,33",mastercard,Clothing,France,3:58:04
Addia Di Ruggiero,Female,"€18,64",visa,Garden,France,15:23:45
Edan Fountian,Male,"€78,16",mastercard,Automotive,Brazil,13:22:52
Lory Endacott,Female,"€19,90",americanexpress,Shoes,Brazil,15:38:21
Marlena Labitt,Non-binary,"€41,63",americanexpress,Beauty,Portugal,13:28:24
Vanni Ilchuk,Bigender,"€51,70",americanexpress,Grocery,France,21:17:36
Kellby Heading,Male,"€0,33",mastercard,Movies,France,4:07:04
Bryn Bromby,Male,"€10,95",mastercard,Games,Portugal,22:06:54
Everett Margiotta,Polygender,"€94,32",visa,Industrial,Portugal,18:28:25
Sayre Downing,Male,"€10,29",americanexpress,Toys,France,15:54:44
Langsdon Halbert,Male,"€43,38",americanexpress,Sports,France,7:16:58
Bordie Carwithen,Male,"€8,23",americanexpress,Kids,Brazil,8:32:27
Lezlie O'Harney,Female,"€14,85",mastercard,Computers,France,0:22:59
Marlo Brangan,Female,"€38,08",americanexpress,Health,France,21:57:57
Horace Colrein,Male,"€7,69",americanexpress,Toys,Brazil,20:07:21
Jacky Freshwater,Male,"€15,07",mastercard,Jewelry,Argentina,6:37:09
Faythe McCarrick,Female,"€22,97",americanexpress,Garden,Portugal,15:08:43
Galven Burley,Male,"€71,45",visa,Beauty,Portugal,2:42:02
Jacob Crehan,Male,"€57,62",mastercard,Shoes,Portugal,1:13:22
Ellerey Comellini,Male,"€94,02",mastercard,Jewelry,Brazil,2:13:15
Thacher McCuaig,Male,"€88,96",americanexpress,Automotive,Brazil,20:25:38
Elbertine Tomasi,Agender,"€10,27",americanexpress,Games,Portugal,17:57:41
Hussein Franchyonok,Male,"€8,26",mastercard,Grocery,Portugal,5:00:13
Gregoor Etherington,Male,"€29,67",mastercard,Sports,Brazil,12:09:32
Hilario McMorland,Male,"€23,61",visa,Computers,France,4:35:07
Dell Bergstram,Female,"€27,43",americanexpress,Movies,Brazil,4:56:28
Anders Wittey,Male,"€17,58",americanexpress,Kids,Portugal,23:58:12
Salim Milvarnie,Non-binary,"€52,53",mastercard,Beauty,France,0:28:01
Vivyanne Tomczynski,Female,"€5,16",visa,Toys,France,21:14:18
Chrysler Wroath,Female,"€60,63",americanexpress,Automotive,Portugal,17:09:40
Ariel De Bruijn,Genderqueer,"€51,27",americanexpress,Grocery,Brazil,19:43:21
Georas Wroughton,Male,"€95,11",americanexpress,Shoes,Argentina,4:01:24
Sam Gerrie,Female,"€94,49",americanexpress,Beauty,Germany,14:53:40
Gordy Elfleet,Male,"€86,61",americanexpress,Health,France,8:08:10
Pepillo O'Flynn,Male,"€8,87",visa,Clothing,Brazil,3:32:16
Carter Kunat,Male,"€19,06",visa,Shoes,Brazil,17:51:37
Lucita Falks,Female,"€19,25",visa,Grocery,Brazil,2:01:01
